,Background,Meadow,Soft winter wheat,Corn,Winter barley,Winter rapeseed,Spring barley,Sunflower,Grapevine,Beet,Winter triticale,Winter durum wheat,"Fruits, vegetables, flowers",Potatoes,Leguminous fodder,Soybeans,Orchard,Mixed cereal,Sorghum,Void
Background,2719800,255353,15760,31860,5624,5881,1550,2943,67525,2350,1386,3946,13785,1613,7436,1808,18387,714,1271,0
Meadow,218777,1229951,1790,2524,955,411,140,346,712,46,328,86,816,43,7317,350,276,444,691,0
Soft winter wheat,21155,1326,525317,1686,819,494,119,148,12,174,1951,6194,11,70,185,145,0,665,209,0
Corn,25047,2470,537,645586,115,872,49,362,134,176,26,4,1219,139,482,478,3,8,10582,0
Winter barley,5684,676,2252,395,150460,101,355,39,1,8,313,2903,14,3,78,6,1,86,17,0
Winter rapeseed,2578,305,570,449,25,124558,5,104,0,34,1,0,8,0,174,26,0,28,254,0
Spring barley,4203,1976,1321,325,1871,67,42384,40,51,24,42,256,21,3,427,264,0,487,0,0
Sunflower,4915,105,4,1272,13,141,3,72879,58,4,0,102,1290,15,167,6,13,0,946,0
Grapevine,37838,1062,25,14,22,0,5,150,145592,0,0,58,1053,0,245,0,1177,0,236,0
Beet,2133,2,35,686,29,65,0,54,0,67466,0,0,482,76,2,16,0,1,0,0
Winter triticale,2958,720,8366,186,244,20,7,0,0,0,44766,60,0,0,4,1,0,1030,0,0
Winter durum wheat,6061,129,2985,5,427,0,347,55,31,1,19,59547,84,0,198,0,4,57,10,0
"Fruits, vegetables, flowers",11883,230,56,351,5,8,5,385,117,56,0,111,46940,165,67,0,106,0,230,0
Potatoes,2857,7,70,529,0,0,2,32,0,26,0,3,1847,17001,90,10,14,0,125,0
Leguminous fodder,15601,23993,394,116,576,361,64,102,227,0,17,382,128,20,84230,12,122,978,471,0
Soybeans,2907,67,45,1328,19,51,4,39,4,21,2,0,339,0,0,63045,0,0,445,0
Orchard,18618,1616,41,55,0,1,14,15,789,18,4,10,1704,51,179,3,53721,4,16,0
Mixed cereal,3726,1063,5556,229,765,62,1873,0,16,0,5761,65,25,7,146,0,0,23265,210,0
Sorghum,5239,1655,17,706,0,7,4,353,164,0,0,11,1124,8,1677,0,37,0,21022,0
Void,229040,200487,76851,88751,18047,26311,17660,6977,15695,11830,6038,15277,12668,6344,19047,11582,5034,5202,4141,0
