class_id,class_name,IoU,Precision,Recall,F1-score,Present_globally,Total_target_samples,Total_predicted_samples,Total_true_positives
0,Background,0.7268707062793622,0.8187668060517383,0.8662422252053026,0.8418357015800506,True,15907494.0,16829875.0,13779743.0
1,Meadow,0.6332755008816194,0.7277342265495553,0.8299006354131283,0.7754668462727643,True,7289116.0,8312433.0,6049242.0
2,Soft winter wheat,0.7751449662095309,0.811304175911078,0.9456283193609271,0.8733314528837595,True,2733960.0,3186610.0,2585310.0
3,Corn,0.79197352119343,0.826326580957327,0.9501249043153557,0.8839120799798273,True,3451442.0,3968529.0,3279301.0
4,Winter barley,0.7673060884070059,0.8193695423596591,0.9235227742186103,0.8683341198678621,True,810895.0,913971.0,748880.0
5,Winter rapeseed,0.7942872869297388,0.8203210988091235,0.9615796316328975,0.8853512954314787,True,705329.0,826786.0,678230.0
6,Spring barley,0.5879013602967921,0.6942504011627707,0.7932962429277601,0.7404759199739062,True,254693.0,291029.0,202047.0
7,Sunflower,0.7470848362073225,0.8009473128935641,0.9174189927468266,0.8552359000827222,True,395551.0,453071.0,362886.0
8,Grapevine,0.5605823148998809,0.6616644809631169,0.7858426745382608,0.7184271019191255,True,1108797.0,1316891.0,871340.0
9,Beet,0.7800240035373635,0.8131242361667158,0.9504009851458478,0.8764196460129257,True,324825.0,379664.0,308714.0
10,Winter triticale,0.632839306665486,0.7725318119018907,0.7777653080310837,0.7751397263431186,True,294045.0,296037.0,228698.0
11,Winter durum wheat,0.619526017516744,0.6753179028440772,0.8823375262054507,0.7650707809766184,True,419760.0,548438.0,370370.0
12,"Fruits, vegetables, flowers",0.5020426769788856,0.642815627867405,0.696278694716877,0.6684799102894502,True,373283.0,404329.0,259909.0
13,Potatoes,0.4904436345700663,0.6756032424576999,0.6415143369175628,0.6581176546291062,True,111600.0,105969.0,71593.0
14,Leguminous fodder,0.49017096789346887,0.6289718419013175,0.6895561559000631,0.6578721213262971,True,635561.0,696780.0,438255.0
15,Soybeans,0.8045891303312186,0.8609588570491353,0.9247488454030377,0.891714481493682,True,420060.0,451183.0,388450.0
16,Orchard,0.5100013691356746,0.6204693603528023,0.7412371384197243,0.6754978896841657,True,412080.0,492287.0,305449.0
17,Mixed cereal,0.4655064228204007,0.6327589676751607,0.6378293525249354,0.6352840432108416,True,207035.0,208694.0,132053.0
18,Sorghum,0.5307530965049787,0.6688907933398629,0.7198890792137321,0.693453565721077,True,166966.0,179696.0,120197.0
19,Void,0.0,,0.0,,True,3839780.0,0.0,0.0
